date,total_intake_ml,bm_intake_ml,nursing_vol_ml,expressed_ml,formula_ml,bm_pct,bm_supply_ml,pump_total_ml,nursing_pct_of_supply,pump_sessions_count,pump_vol_highest_ml,pump_vol_lowest_ml,nursing_sessions_count,nursing_total_min,nursing_transfer_highest_ml,nursing_transfer_lowest_ml,diaper_wet_count,diaper_dirty_count,diaper_mixed_count,sleep_total_min,weight_lbs,weight_note,last_record_time,is_complete_day,has_nursing_ml
2026-03-15,15.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,,,2026-03-15 00:01:08,0,1
2026-03-14,633.2,511.2,220.2,291.0,122.0,80.7,481.2,261.0,45.8,6.0,66.0,22.0,5.0,161.0,58.0,19.25,6.0,1.0,1.0,658.0,9.875,9lbs 14.2oz (Right After poop ) ,2026-03-14 23:59:15,1,1
2026-03-13,702.5,569.5,160.5,409.0,133.0,81.1,546.5,386.0,29.4,7.0,95.0,15.0,5.0,162.0,47.0,20.0,10.0,1.0,0.0,786.0,9.875,9lbs 14.6oz,2026-03-13 23:59:04,1,1
2026-03-12,722.2,535.2,259.2,276.0,187.0,74.1,574.2,315.0,45.1,6.0,75.0,30.0,5.0,177.0,88.0,15.0,9.0,1.0,0.0,651.0,9.75,9lbs 12.5oz,2026-03-12 23:59:21,1,1
2026-03-11,695.0,474.0,267.0,207.0,221.0,68.2,468.0,201.0,57.1,7.0,53.0,12.0,7.0,227.0,47.0,22.0,9.0,0.0,0.0,981.0,9.6875,9lbs 11.6oz,2026-03-11 23:48:18,1,1
2026-03-10,690.2,486.2,229.2,257.0,204.0,70.4,494.2,265.0,46.4,7.0,67.0,23.0,7.0,198.0,52.25,19.5,9.0,1.0,0.0,870.0,9.625,9lbs 10.5oz,2026-03-10 23:59:08,1,1
2026-03-09,675.8,528.8,231.8,297.0,147.0,78.2,495.8,264.0,46.7,7.0,60.0,25.0,7.0,287.0,61.0,14.0,8.0,0.0,0.0,545.0,9.5,9lbs 8.0oz,2026-03-09 23:59:59,1,1
2026-03-08,517.0,361.0,204.0,157.0,156.0,69.8,433.0,229.0,47.1,6.0,57.0,15.0,5.0,156.0,68.75,28.0,9.0,3.0,1.0,893.0,9.375,"9lbs 6.5oz
",2026-03-08 23:20:37,1,1
2026-03-07,678.0,474.0,201.0,273.0,204.0,69.9,490.0,289.0,41.0,8.0,85.0,14.0,6.0,160.0,49.5,19.5,11.0,0.0,1.0,852.0,9.375,9lbs 6.1oz.,2026-03-07 23:57:39,1,1
2026-03-06,667.5,463.5,258.5,205.0,204.0,69.4,464.5,206.0,55.7,7.0,63.0,13.0,8.0,217.0,71.5,14.0,9.0,0.0,0.0,677.0,9.25,"9lbs 4.4oz
",2026-03-06 23:59:14,1,1
