date,datetime,type,ml,duration_min,note
2026-04-06,2026-04-06 02:27:21,expressed,90.0,,
2026-04-06,2026-04-06 02:52:39,formula,30.0,,
2026-04-06,2026-04-06 03:35:56,pump,105.0,59.0,
2026-04-06,2026-04-06 07:51:15,nursing,70.0,32.0,"70ml
"
2026-04-06,2026-04-06 08:33:10,expressed,40.0,,
2026-04-06,2026-04-06 08:45:41,pump,40.0,59.0,
2026-04-06,2026-04-06 10:13:54,nursing,44.0,45.0,"44ml
"
2026-04-06,2026-04-06 10:53:15,expressed,70.0,,
2026-04-06,2026-04-06 12:35:44,expressed,90.0,,
2026-04-06,2026-04-06 13:46:57,nursing,39.0,21.0,39ml
2026-04-06,2026-04-06 14:00:26,pump,40.0,59.0,
2026-04-06,2026-04-06 16:13:23,expressed,40.0,,
2026-04-06,2026-04-06 16:50:53,formula,80.0,,
2026-04-06,2026-04-06 18:30:47,pump,85.0,50.0,
2026-04-06,2026-04-06 19:35:59,nursing,39.0,30.0,39ml
2026-04-06,2026-04-06 20:06:27,expressed,45.0,,
2026-04-06,2026-04-06 20:06:34,formula,40.0,,
2026-04-06,2026-04-06 22:02:37,pump,75.0,59.0,
2026-04-07,2026-04-07 01:57:41,formula,60.0,,
2026-04-07,2026-04-07 02:04:10,pump,80.0,59.0,
2026-04-07,2026-04-07 02:14:05,expressed,60.0,,
2026-04-07,2026-04-07 05:33:48,formula,70.0,,
2026-04-07,2026-04-07 06:10:39,expressed,50.0,,
2026-04-07,2026-04-07 08:48:53,nursing,99.0,50.0,99ml
2026-04-07,2026-04-07 09:47:07,expressed,22.0,,
2026-04-07,2026-04-07 10:49:17,pump,82.0,30.0,22ml from collector 
2026-04-07,2026-04-07 11:49:15,nursing,30.0,30.0,30ml
2026-04-07,2026-04-07 12:26:35,expressed,80.0,,
2026-04-07,2026-04-07 12:27:45,pump,27.0,50.0,
2026-04-07,2026-04-07 14:53:34,nursing,40.0,30.0,40ml
2026-04-07,2026-04-07 15:25:56,expressed,32.0,,
2026-04-07,2026-04-07 15:40:58,expressed,40.0,,
2026-04-07,2026-04-07 16:10:08,pump,30.0,0.0,
2026-04-07,2026-04-07 18:12:18,expressed,45.0,,
2026-04-07,2026-04-07 18:32:04,formula,75.0,,
2026-04-07,2026-04-07 19:49:39,formula,30.0,,
2026-04-07,2026-04-07 20:31:14,nursing,66.0,30.0,66ml
2026-04-07,2026-04-07 21:13:55,formula,50.0,,
2026-04-07,2026-04-07 21:23:38,pump,42.0,50.0,
2026-04-08,2026-04-08 00:31:44,pump,72.0,0.0,
2026-04-08,2026-04-08 02:08:42,expressed,42.0,,
2026-04-08,2026-04-08 02:28:02,formula,80.0,,
2026-04-08,2026-04-08 05:50:24,pump,100.0,0.0,
2026-04-08,2026-04-08 06:55:53,nursing,47.0,30.0,47ml
2026-04-08,2026-04-08 07:34:53,expressed,73.0,,
2026-04-08,2026-04-08 07:40:32,pump,20.0,30.0,
2026-04-08,2026-04-08 09:58:36,nursing,33.0,26.0,33ml
2026-04-08,2026-04-08 10:38:16,expressed,88.0,,
2026-04-08,2026-04-08 10:57:54,pump,52.0,50.0,
2026-04-08,2026-04-08 13:02:03,formula,60.0,,
2026-04-08,2026-04-08 14:45:30,nursing,50.0,30.0,50ml
2026-04-08,2026-04-08 15:22:34,expressed,70.0,,
2026-04-08,2026-04-08 16:55:02,pump,50.0,41.0,
2026-04-08,2026-04-08 18:07:44,expressed,80.0,,
2026-04-08,2026-04-08 18:30:56,nursing,38.5,23.0,38.5ml 或者25ml
2026-04-08,2026-04-08 20:40:19,nursing,5.0,8.0,"5ml
"
2026-04-08,2026-04-08 20:52:17,formula,40.0,,
2026-04-08,2026-04-08 21:07:51,formula,60.0,,
2026-04-08,2026-04-08 21:15:30,pump,30.0,30.0,
2026-04-08,2026-04-08 21:38:01,expressed,30.0,,
2026-04-08,2026-04-08 23:50:05,nursing,49.0,21.0,49ml
2026-04-09,2026-04-09 00:12:30,pump,56.0,27.0,
2026-04-09,2026-04-09 00:14:22,formula,30.0,,给了60没吃完
2026-04-09,2026-04-09 04:43:17,pump,95.0,27.0,
2026-04-09,2026-04-09 04:44:32,formula,60.0,,
2026-04-09,2026-04-09 05:01:42,formula,60.0,,
2026-04-09,2026-04-09 08:55:56,nursing,80.0,30.0,80ml
2026-04-09,2026-04-09 09:42:25,expressed,40.0,,
2026-04-09,2026-04-09 11:25:02,nursing,27.5,11.0,27.5ml
2026-04-09,2026-04-09 11:54:35,expressed,22.0,,
2026-04-09,2026-04-09 12:01:14,pump,60.0,47.0,
2026-04-09,2026-04-09 12:03:33,expressed,58.0,,
2026-04-09,2026-04-09 12:24:11,expressed,10.0,,
2026-04-09,2026-04-09 15:05:58,expressed,60.0,,
2026-04-09,2026-04-09 15:18:02,formula,60.0,,
2026-04-09,2026-04-09 16:25:35,pump,70.0,60.0,momcozy
2026-04-09,2026-04-09 18:12:11,expressed,50.0,,
2026-04-09,2026-04-09 18:22:41,formula,70.0,,
2026-04-09,2026-04-09 19:01:32,pump,72.0,60.0,momcozy
2026-04-09,2026-04-09 20:38:50,expressed,70.0,,
2026-04-09,2026-04-09 21:24:59,formula,50.0,,
2026-04-09,2026-04-09 21:40:01,pump,35.0,45.0,
2026-04-10,2026-04-10 00:50:01,pump,78.0,45.0,
2026-04-10,2026-04-10 03:33:04,formula,60.0,,
2026-04-10,2026-04-10 03:44:36,expressed,60.0,,
2026-04-10,2026-04-10 05:15:16,pump,108.0,60.0,
2026-04-10,2026-04-10 08:01:49,nursing,50.0,30.0,50ml
2026-04-10,2026-04-10 08:42:44,expressed,80.0,,
2026-04-10,2026-04-10 10:00:25,nursing,39.0,30.0,39ml
2026-04-10,2026-04-10 10:33:07,expressed,75.0,,
2026-04-10,2026-04-10 12:59:36,expressed,60.0,,
2026-04-10,2026-04-10 13:40:35,formula,60.0,,
2026-04-10,2026-04-10 13:42:39,pump,120.0,60.0,
2026-04-10,2026-04-10 15:57:34,expressed,120.0,,
2026-04-10,2026-04-10 16:00:37,pump,63.0,60.0,
2026-04-10,2026-04-10 18:37:39,nursing,40.0,30.0,"40ml
"
2026-04-10,2026-04-10 19:27:39,expressed,72.0,,
2026-04-10,2026-04-10 21:29:02,nursing,38.0,30.0,38ml
2026-04-10,2026-04-10 22:06:14,expressed,15.0,,
2026-04-10,2026-04-10 22:11:41,formula,70.0,,
2026-04-10,2026-04-10 22:15:37,pump,45.0,40.0,
2026-04-11,2026-04-11 01:10:38,pump,70.0,40.0,
2026-04-11,2026-04-11 04:12:56,pump,80.0,40.0,
2026-04-11,2026-04-11 05:04:12,expressed,70.0,,
2026-04-11,2026-04-11 05:19:18,formula,50.0,,
2026-04-11,2026-04-11 08:02:56,nursing,60.0,30.0,60ml
2026-04-11,2026-04-11 08:44:22,expressed,55.0,,
2026-04-11,2026-04-11 10:10:58,nursing,39.0,30.0,39ml
2026-04-11,2026-04-11 10:46:28,expressed,21.0,,
2026-04-11,2026-04-11 10:52:53,expressed,50.0,,
2026-04-11,2026-04-11 12:40:21,pump,36.0,26.0,
2026-04-11,2026-04-11 13:00:28,expressed,36.0,,
2026-04-11,2026-04-11 13:40:45,pump,40.0,26.0,
2026-04-11,2026-04-11 13:45:55,formula,60.0,,
2026-04-11,2026-04-11 14:32:17,expressed,30.0,,
2026-04-11,2026-04-11 15:51:13,nursing,40.0,30.0,40ml
2026-04-11,2026-04-11 16:22:31,formula,80.0,,
2026-04-11,2026-04-11 18:59:54,pump,80.0,61.0,
2026-04-11,2026-04-11 19:09:58,expressed,55.0,,
2026-04-11,2026-04-11 19:29:23,expressed,25.0,,
2026-04-11,2026-04-11 20:01:29,pump,35.0,26.0,
2026-04-11,2026-04-11 20:05:42,formula,30.0,,
2026-04-11,2026-04-11 21:45:02,nursing,20.0,30.0,est 20ml
2026-04-11,2026-04-11 22:05:41,expressed,42.0,,
2026-04-11,2026-04-11 22:45:54,formula,60.0,,
2026-04-11,2026-04-11 23:00:47,pump,55.0,46.0,
2026-04-12,2026-04-12 01:15:27,pump,42.0,46.0,
2026-04-12,2026-04-12 02:24:49,expressed,60.0,,
2026-04-12,2026-04-12 02:38:32,formula,60.0,,
2026-04-12,2026-04-12 04:11:56,pump,70.0,90.0,
2026-04-12,2026-04-12 07:00:58,nursing,33.0,32.0,33ml (1.2oz)秤有点问题
2026-04-12,2026-04-12 07:45:46,expressed,39.0,,
2026-04-12,2026-04-12 10:29:02,nursing,52.0,32.0,"52ml
"
2026-04-12,2026-04-12 11:15:59,expressed,65.0,,
2026-04-12,2026-04-12 12:26:46,pump,60.0,78.0,
2026-04-12,2026-04-12 14:01:20,nursing,33.0,32.0,33ml
2026-04-12,2026-04-12 14:57:36,expressed,72.0,,
2026-04-12,2026-04-12 15:07:23,formula,15.0,,
2026-04-12,2026-04-12 16:21:25,pump,60.0,78.0,
2026-04-12,2026-04-12 17:20:42,expressed,60.0,,
2026-04-12,2026-04-12 17:48:53,formula,60.0,,
2026-04-12,2026-04-12 19:00:31,pump,42.0,38.0,
2026-04-12,2026-04-12 20:01:09,nursing,30.0,32.0,30ml
2026-04-12,2026-04-12 20:37:35,expressed,48.0,,吃了10min
2026-04-12,2026-04-12 20:59:59,formula,65.0,,吃了10-15min
2026-04-12,2026-04-12 21:45:38,pump,40.0,38.0,tbc
2026-04-12,2026-04-12 23:58:58,pump,42.0,60.0,12:10am
2026-04-13,2026-04-13 03:40:18,pump,100.0,60.0,
2026-04-13,2026-04-13 03:44:40,formula,120.0,,
2026-04-13,2026-04-13 06:55:05,nursing,50.0,42.0,50ml
2026-04-13,2026-04-13 07:31:39,expressed,82.0,,
2026-04-13,2026-04-13 09:53:14,nursing,50.0,32.0,50ml
2026-04-13,2026-04-13 11:00:40,pump,65.0,60.0,待确认
2026-04-13,2026-04-13 11:31:46,expressed,71.0,,
2026-04-13,2026-04-13 14:06:13,expressed,55.0,,
2026-04-13,2026-04-13 14:15:21,nursing,36.0,10.0,36ml
2026-04-13,2026-04-13 14:32:04,expressed,40.0,,
2026-04-13,2026-04-13 14:34:00,pump,65.0,60.0,
2026-04-13,2026-04-13 17:45:25,nursing,42.0,30.0,42ml
2026-04-13,2026-04-13 18:13:29,pump,22.0,21.0,
2026-04-13,2026-04-13 18:17:27,expressed,65.0,,
